,salary_min,salary_max,currency,vacancy,link,source
128,55000.0,,руб.,"Кассир (ТЦ Атриум, м. Курская)",https://hh.ru/vacancy/50074354?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
129,60000.0,60000.0,руб.,Бухгалтер-кассир,https://hh.ru/vacancy/52665507?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
130,75000.0,75000.0,руб.,Бариста-кассир,https://hh.ru/vacancy/52137678?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
131,35000.0,40000.0,руб.,Администратор-кассир,https://hh.ru/vacancy/52802644?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
132,50000.0,,руб.,Кассир,https://hh.ru/vacancy/52277174?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
133,51019.0,,руб.,Ночной Старший кассир,https://hh.ru/vacancy/52394289?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
134,,,,Кассир,https://hh.ru/vacancy/53005532?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
135,50000.0,60000.0,руб.,Ночной Продавец-кассир,https://hh.ru/vacancy/50381273?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
136,50000.0,60000.0,руб.,Бухгалтер-кассир (м. Бутырская),https://hh.ru/vacancy/52183223?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
137,55000.0,,руб.,Администратор-кассир,https://hh.ru/vacancy/52690824?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
138,,50000.0,руб.,Кассир,https://hh.ru/vacancy/52959436?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
139,35000.0,65000.0,руб.,Кассир-Бариста,https://hh.ru/vacancy/52237253?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
140,40000.0,43000.0,руб.,Кассир,https://hh.ru/vacancy/52248010?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
141,45000.0,55000.0,руб.,Продавец-кассир (товары для маникюра),https://hh.ru/vacancy/52273378?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
142,43000.0,,руб.,Контролер кассир (КАРО Sky 17 Авиапарк),https://hh.ru/vacancy/49832621?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
